ID;RowType;Time
51;Общая средняя;2026-03-30 09:47:13
27;Собака;2026-03-30 15:11:58
22;Собака;2026-11-18 15:49:10
170;Собака;2026-07-23 13:59:10
177;Кот;2026-08-13 05:12:54
168;Собака;2026-07-06 16:59:10
107;Собака;2026-04-30 19:50:28
2;Манул;2025-11-21 23:13:45
11;Кот;2025-11-21 21:22:54
19;Собака;2026-01-15 10:29:50
23;Кот;2026-06-20 11:23:24
80;Кот;2026-03-16 22:20:25
3;Общая средняя;2025-10-06 22:33:36
74;Общая средняя;2025-10-11 04:59:17
12;Общая средняя;2026-02-06 08:02:36
158;Собака;2026-08-04 13:39:10
171;Собака;2026-03-17 12:09:10
151;Кот;2026-09-09 15:30:25
30;Кот;2025-04-07 13:06:40
44;Общая средняя;2026-02-24 22:05:56
78;Общая средняя;2026-03-30 12:12:43
167;Собака;2026-08-16 18:19:10
179;Манул;2026-08-25 10:07:30
183;Собака;2026-08-13 23:39:57
180;Общая средняя;2026-03-18 13:02:36
47;Общая средняя;2026-02-15 14:06:48
126;Общая средняя;2026-05-08 20:34:16
133;Общая средняя;2026-06-16 11:25:56
176;Собака;2025-09-02 19:09:10
173;Общая средняя;2025-10-17 04:07:36
184;Манул;2025-08-06 02:33:09
185;Собака;2025-09-01 06:09:33
186;Манул;2025-05-11 08:53:04
187;Манул;2025-06-23 11:07:53
96;Собака;2026-06-06 05:11:10
95;Собака;2026-07-01 01:19:10
137;Собака;2026-05-20 17:39:10
189;Кот;2026-06-24 15:32:50
190;Кот;2026-07-14 07:37:05
188;Общая средняя;2026-03-29 22:54:16
97;Собака;2026-08-25 14:49:10
147;Собака;2026-08-15 01:50:34
24;Собака;2026-09-04 12:59:10
192;Кот;2026-09-02 00:57:54
193;Собака;2026-03-18 00:22:54
194;Кот;2026-09-01 17:47:54
195;Кот;2026-12-06 10:26:40
196;Кот;2026-09-04 15:24:59
148;Общая средняя;2026-06-06 02:21:56
198;Общая средняя;2026-10-15 07:53:36
199;Кот;2026-10-07 02:15:25
201;Манул;2026-09-08 18:50:35
197;Кот;2026-09-13 18:02:54
202;Кот;2026-09-26 17:55:25
200;Манул;2026-09-11 08:33:45
203;Собака;2026-09-04 09:09:10
204;Собака;2026-09-14 10:49:10
205;Манул;2026-09-29 18:52:48
206;Собака;2026-09-21 22:39:10
207;Собака;2026-09-17 01:39:10
208;Собака;2026-09-17 12:33:17
209;Кот;2026-09-20 13:20:25
169;Собака;2026-09-24 13:39:10
