ID;Type;Force
27;Двойная средняя;15990.00
51;Общая средняя;13306.44
107;Общая средняя;14473.00
19;Общая средняя;45553.91
168;Кот;9468.40
23;Собака;37906.34
178;Кот;3089.89
1;Собака;32596.83
171;Общая средняя;68354.79
3;Общая средняя;13742.92
180;Общая средняя;49850.00
30;Общая средняя;20509.05
2;Манул;51670.34
11;Кот;12851.84
12;Общая средняя;17288.28
78;Общая средняя;17288.28
170;Общая средняя;25004.76
24;Кот;68354.79
80;Кот;8453.66
27;Общая средняя;15990.00
97;Собака;4603.92
15;Общая средняя;3039.26
179;Общая средняя;3039.26
1;Общая средняя;32596.83
167;Общая средняя;8156.38
22;Общая средняя;22821.95
74;Общая средняя;32596.83
177;Собака;8711.88
158;Общая средняя;1885.69
158;Собака;1885.69
170;Собака;25004.76
151;Общая средняя;3149.82
151;Собака;3149.82
151;Кот;19975.36
30;Кот;20509.05
44;Общая средняя;5855.64
181;Общая средняя;2855.90
181;Собака;2764.76
183;Собака;2368.25
47;Общая средняя;7141.81
126;Манул;11000.00
133;Общая средняя;16860.78
176;Собака;26254.45
173;Общая средняя;18925.97
184;Манул;48684.33
185;Собака;12442.52
186;Манул;29822.82
187;Манул;37438.37
96;Собака;22821.95
96;Манул;22821.95
171;Собака;66171.98
137;Кот;10193.56
189;Кот;23692.73
190;Кот;25004.76
148;Общая средняя;20138.39
188;Общая средняя;17288.28
147;Общая средняя;17831.95
24;Собака;68354.79
147;Собака;17831.95
193;Собака;37906.34
195;Общая средняя;23267.87
195;Собака;23267.87
95;Собака;22821.95
